n;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12
1;0.008551528;0.049167213;0.165331624;0.321558044;0.744290508;0.904361311;0.904361311;0.933380368;0.925910295;0.94093121;0.933380368;0.94093121
2;0.008858752;0.055207911;0.340589077;0.327398563;0.50222561;0.516829216;0.526695253;0.526141177;0.556621138;0.559087356;0.5655842;0.563998847
3;0.011495858;0.204385337;0.475958002;0.54603993;0.550636616;0.850125723;0.546715351;0.552884861;0.552884861;0.552884861;0.552884861;0.552884861
4;0.010180566;0.190618872;0.317294108;0.391892787;0.441955184;0.488842732;0.507154692;0.510860801;0.513118933;0.517018777;0.537141016;0.537141016
5;0.004811168;0.09177353;0.354444357;0.404490464;0.49531871;0.508189416;0.524840353;0.528750286;0.536141898;0.541657389;0.541657389;0.541657389
6;0.008348351;0.101775977;0.451665094;0.785401969;0.838271119;0.933885796;0.918841406;0.947722094;0.536215095;0.962947194;0.962947194;0.955471164
7;0.01098801;0.163509087;0.359558056;0.637199209;0.892331506;0.900733981;0.869696171;0.907640304;0.962714135;0.947604375;0.977672131;0.985267111
8;0.010785085;0.115668178;0.411865775;0.483209658;0.800116508;0.876250521;0.963646153;0.978018204;0.978018204;0.978018204;1;0.978018204
9;0.009160932;0.204857472;0.436402291;0.649058985;0.896721192;0.962481039;0.941588379;0.949016398;0.992480638;1;0.992480638;1
10;0.008145154;0.192160612;0.437692726;0.666055891;0.896234073;0.884005245;0.90812378;0.947839805;0.985037532;0.962830669;0.97744137;0.985037532
11;0.009567096;0.059883149;0.155618872;0.272031846;0.818413915;0.927814479;0.985037532;0.963180217;0.985037532;0.985037532;0.992594854;0.992594854
12;0.008044443;0.038090355;0.12400492;0.284414318;0.510765534;0.882098667;0.853669304;0.529536133;0.548987199;0.554232297;0.558033141;0.550873453
13;0.010582139;0.096346166;0.467588243;0.852247203;0.896477652;0.926143552;0.876990761;0.918841406;0.918841406;0.95605658;0.985267111;0.977672131
14;0.009567096;0.052348469;0.332390761;0.717375491;0.802059455;0.817004131;0.895868632;0.910659504;0.93329165;0.940997274;0.948781153;0.940997274
15;0.011393797;0.050360794;0.24602812;0.56285765;0.630589445;0.876250521;0.925904697;0.948310553;0.970038021;0.985037532;0.985037532;0.985037532
16;0.009364024;0.067782913;0.196586687;0.521578513;0.6870568;0.83104495;0.890865463;0.955119804;0.955236933;0.962947194;0.977787497;0.970153982
17;0.009364024;0.179934778;0.280853303;0.526793488;0.790104728;0.703802288;0.925785255;0.940879025;0.956290682;0.955705358;0.977672131;0.977787497
